Participant ID,time,header,watch_row_type,watched_title,title_without_watch_prefix,clean_title,watch_action_prefix,watch_action_language_hint,prefix_removed,url,video_id,has_valid_video_id,details_missing,has_google_ads_marker,is_youtube_music,channel_title,channel_url,channel_id,details
Beata,2023-11-30 12:41:50.758000+00:00,YouTube,ad_watch,Watched Demo video 268,Demo video 268,Demo video 268,Watched,English,True,https://www.youtube.com/watch?v=VID00000268,VID00000268,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2023-09-18 09:45:34.849000+00:00,YouTube,ad_watch,Watched Demo video 210,Demo video 210,Demo video 210,Watched,English,True,https://www.youtube.com/watch?v=VID00000210,VID00000210,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2023-08-31 08:29:28.955000+00:00,YouTube,ad_watch,Watched Demo video 064,Demo video 064,Demo video 064,Watched,English,True,https://www.youtube.com/watch?v=VID00000064,VID00000064,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2023-07-04 08:13:51.238000+00:00,YouTube,ad_watch,Watched Demo video 218,Demo video 218,Demo video 218,Watched,English,True,https://www.youtube.com/watch?v=VID00000218,VID00000218,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2023-05-25 09:29:01.858000+00:00,YouTube,ad_watch,Watched Demo video 045,Demo video 045,Demo video 045,Watched,English,True,https://www.youtube.com/watch?v=VID00000045,VID00000045,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2022-10-17 12:43:53.565000+00:00,YouTube,ad_watch,Watched Demo video 312,Demo video 312,Demo video 312,Watched,English,True,https://www.youtube.com/watch?v=VID00000312,VID00000312,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2024-11-18 14:58:06.798000+00:00,YouTube,ad_watch,Watched Demo video 266,Demo video 266,Demo video 266,Watched,English,True,https://www.youtube.com/watch?v=VID00000266,VID00000266,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2024-10-18 08:50:19.410000+00:00,YouTube,ad_watch,Watched Demo video 058,Demo video 058,Demo video 058,Watched,English,True,https://www.youtube.com/watch?v=VID00000058,VID00000058,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2024-08-09 07:11:42.056000+00:00,YouTube,ad_watch,Watched Demo video 294,Demo video 294,Demo video 294,Watched,English,True,https://www.youtube.com/watch?v=VID00000294,VID00000294,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2023-09-23 13:27:30.477000+00:00,YouTube,ad_watch,Watched Demo video 216,Demo video 216,Demo video 216,Watched,English,True,https://www.youtube.com/watch?v=VID00000216,VID00000216,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2023-08-31 08:37:51.550000+00:00,YouTube,ad_watch,Watched Demo video 200,Demo video 200,Demo video 200,Watched,English,True,https://www.youtube.com/watch?v=VID00000200,VID00000200,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2023-08-21 10:51:37.582000+00:00,YouTube,ad_watch,Watched Demo video 238,Demo video 238,Demo video 238,Watched,English,True,https://www.youtube.com/watch?v=VID00000238,VID00000238,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2023-08-10 11:58:31.631000+00:00,YouTube,ad_watch,Watched Demo video 008,Demo video 008,Demo video 008,Watched,English,True,https://www.youtube.com/watch?v=VID00000008,VID00000008,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2023-07-04 08:19:38.222000+00:00,YouTube,ad_watch,Watched Demo video 171,Demo video 171,Demo video 171,Watched,English,True,https://www.youtube.com/watch?v=VID00000171,VID00000171,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2022-11-04 14:44:22.248000+00:00,YouTube,ad_watch,Watched Demo video 198,Demo video 198,Demo video 198,Watched,English,True,https://www.youtube.com/watch?v=VID00000198,VID00000198,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Carmen,2022-10-28 11:50:19.589000+00:00,YouTube,ad_watch,Watched Demo video 205,Demo video 205,Demo video 205,Watched,English,True,https://www.youtube.com/watch?v=VID00000205,VID00000205,True,False,True,False,,,,[{'name': 'From Google Ads'}]
