id,title,channel_id,channel,uploader,duration,view_count,like_count,comment_count,channel_follower_count,upload_date,timestamp,webpage_url,categories,tags,language,resolution,width,height,fps,aspect_ratio,available_manual_subtitle_languages,available_auto_caption_languages,downloaded_subtitle_languages,downloaded_subtitle_file_count,metadata_status,error
VID00000023,Demo video 023,UCDEMOCHANNEL00000108,Demo channel 108,Demo channel 108,1054,28148,424,71,3222,20200123,1579737600,https://www.youtube.com/watch?v=VID00000023,"[""Demo category""]","[""demo tag 022""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000024,Demo video 024,UCDEMOCHANNEL00000011,Demo channel 011,Demo channel 011,1091,29382,441,74,3323,20200124,1579824000,https://www.youtube.com/watch?v=VID00000024,"[""Demo category""]","[""demo tag 023""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000027,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000028,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000028: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
VID00000029,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000029: Video unavailable. This video is no longer available due to a copyright claim by Hueber Verlag GmbH & Co. KG
VID00000030,Demo video 030,UCDEMOCHANNEL00000152,Demo channel 152,Demo channel 152,1239,34318,509,86,3727,20200128,1580169600,https://www.youtube.com/watch?v=VID00000030,"[""Demo category""]","[""demo tag 027""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000031,Demo video 031,UCDEMOCHANNEL00000029,Demo channel 029,Demo channel 029,1276,35552,526,89,3828,20200129,1580256000,https://www.youtube.com/watch?v=VID00000031,"[""Demo category""]","[""demo tag 028""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000032,Demo video 032,UCDEMOCHANNEL00000132,Demo channel 132,Demo channel 132,1313,36786,543,92,3929,20200130,1580342400,https://www.youtube.com/watch?v=VID00000032,"[""Demo category""]","[""demo tag 029""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000033,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000035,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000035: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VID00000036,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000037,Demo video 037,UCDEMOCHANNEL00000040,Demo channel 040,Demo channel 040,1461,41722,611,104,4333,20200203,1580688000,https://www.youtube.com/watch?v=VID00000037,"[""Demo category""]","[""demo tag 033""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000038,Demo video 038,UCDEMOCHANNEL00000076,Demo channel 076,Demo channel 076,1498,42956,628,107,4434,20200204,1580774400,https://www.youtube.com/watch?v=VID00000038,"[""Demo category""]","[""demo tag 034""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000040,Demo video 040,UCDEMOCHANNEL00000180,Demo channel 180,Demo channel 180,1535,44190,645,110,4535,20200205,1580860800,https://www.youtube.com/watch?v=VID00000040,"[""Demo category""]","[""demo tag 035""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000041,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000041: Video unavailable. This video is no longer available due to a copyright claim by Vipassana Research Institute
VID00000042,Demo video 042,UCDEMOCHANNEL00000158,Demo channel 158,Demo channel 158,1609,46658,679,116,4737,20200207,1581033600,https://www.youtube.com/watch?v=VID00000042,"[""Demo category""]","[""demo tag 037""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000043,Demo video 043,UCDEMOCHANNEL00000112,Demo channel 112,Demo channel 112,1646,47892,696,119,4838,20200208,1581120000,https://www.youtube.com/watch?v=VID00000043,"[""Demo category""]","[""demo tag 038""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000044,Demo video 044,UCDEMOCHANNEL00000071,Demo channel 071,Demo channel 071,1683,49126,713,122,4939,20200209,1581206400,https://www.youtube.com/watch?v=VID00000044,"[""Demo category""]","[""demo tag 039""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000046,Demo video 046,UCDEMOCHANNEL00000135,Demo channel 135,Demo channel 135,1720,50360,730,125,5040,20200210,1581292800,https://www.youtube.com/watch?v=VID00000046,"[""Demo category""]","[""demo tag 040""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000048,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000049,Demo video 049,UCDEMOCHANNEL00000029,Demo channel 029,Demo channel 029,1794,52828,764,131,5242,20200212,1581465600,https://www.youtube.com/watch?v=VID00000049,"[""Demo category""]","[""demo tag 042""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000050,Demo video 050,UCDEMOCHANNEL00000038,Demo channel 038,Demo channel 038,1831,54062,781,134,5343,20200213,1581552000,https://www.youtube.com/watch?v=VID00000050,"[""Demo category""]","[""demo tag 043""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000051,Demo video 051,UCDEMOCHANNEL00000081,Demo channel 081,Demo channel 081,1868,55296,798,137,5444,20200214,1581638400,https://www.youtube.com/watch?v=VID00000051,"[""Demo category""]","[""demo tag 044""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000052,Demo video 052,UCDEMOCHANNEL00000091,Demo channel 091,Demo channel 091,1905,56530,815,140,5545,20200215,1581724800,https://www.youtube.com/watch?v=VID00000052,"[""Demo category""]","[""demo tag 045""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000053,,,,,,,,,,,,,,,,,,,,,,,,0,error,"ERROR: [youtube] VID00000053: Video unavailable. This video contains content from WMG, who has blocked it in your country on copyright grounds"
VID00000055,Demo video 055,UCDEMOCHANNEL00000078,Demo channel 078,Demo channel 078,1979,58998,849,146,5747,20200217,1581897600,https://www.youtube.com/watch?v=VID00000055,"[""Demo category""]","[""demo tag 047""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000056,Demo video 056,UCDEMOCHANNEL00000029,Demo channel 029,Demo channel 029,2016,60232,866,149,5848,20200218,1581984000,https://www.youtube.com/watch?v=VID00000056,"[""Demo category""]","[""demo tag 048""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000057,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000059,Demo video 059,UCDEMOCHANNEL00000015,Demo channel 015,Demo channel 015,2090,62700,900,155,6050,20200220,1582156800,https://www.youtube.com/watch?v=VID00000059,"[""Demo category""]","[""demo tag 050""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000060,Demo video 060,UCDEMOCHANNEL00000011,Demo channel 011,Demo channel 011,2127,63934,917,158,6151,20200221,1582243200,https://www.youtube.com/watch?v=VID00000060,"[""Demo category""]","[""demo tag 051""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000062,Demo video 062,UCDEMOCHANNEL00000136,Demo channel 136,Demo channel 136,2164,65168,934,161,6252,20200222,1582329600,https://www.youtube.com/watch?v=VID00000062,"[""Demo category""]","[""demo tag 052""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000063,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000065,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000065: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
VID00000067,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000070,Demo video 070,UCDEMOCHANNEL00000178,Demo channel 178,Demo channel 178,2312,70104,1002,173,6656,20200226,1582675200,https://www.youtube.com/watch?v=VID00000070,"[""Demo category""]","[""demo tag 056""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000072,Demo video 072,UCDEMOCHANNEL00000051,Demo channel 051,Demo channel 051,2349,71338,1019,176,6757,20200227,1582761600,https://www.youtube.com/watch?v=VID00000072,"[""Demo category""]","[""demo tag 057""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000073,Demo video 073,UCDEMOCHANNEL00000013,Demo channel 013,Demo channel 013,2386,72572,1036,179,6858,20200228,1582848000,https://www.youtube.com/watch?v=VID00000073,"[""Demo category""]","[""demo tag 058""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000074,Demo video 074,UCDEMOCHANNEL00000066,Demo channel 066,Demo channel 066,2423,73806,1053,182,6959,20200229,1582934400,https://www.youtube.com/watch?v=VID00000074,"[""Demo category""]","[""demo tag 059""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000075,Demo video 075,UCDEMOCHANNEL00000130,Demo channel 130,Demo channel 130,2460,75040,1070,185,7060,20200301,1583020800,https://www.youtube.com/watch?v=VID00000075,"[""Demo category""]","[""demo tag 060""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000076,Demo video 076,UCDEMOCHANNEL00000127,Demo channel 127,Demo channel 127,2497,76274,1087,188,7161,20200302,1583107200,https://www.youtube.com/watch?v=VID00000076,"[""Demo category""]","[""demo tag 061""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000077,Demo video 077,UCDEMOCHANNEL00000138,Demo channel 138,Demo channel 138,2534,77508,1104,191,7262,20200303,1583193600,https://www.youtube.com/watch?v=VID00000077,"[""Demo category""]","[""demo tag 062""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000078,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000078: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
VID00000079,Demo video 079,UCDEMOCHANNEL00000011,Demo channel 011,Demo channel 011,2608,79976,1138,197,7464,20200305,1583366400,https://www.youtube.com/watch?v=VID00000079,"[""Demo category""]","[""demo tag 064""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000080,Demo video 080,UCDEMOCHANNEL00000179,Demo channel 179,Demo channel 179,2645,81210,1155,200,7565,20200306,1583452800,https://www.youtube.com/watch?v=VID00000080,"[""Demo category""]","[""demo tag 065""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000082,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000082: Video unavailable
VID00000083,Demo video 083,UCDEMOCHANNEL00000018,Demo channel 018,Demo channel 018,2719,83678,1189,206,7767,20200308,1583625600,https://www.youtube.com/watch?v=VID00000083,"[""Demo category""]","[""demo tag 067""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000084,,,,,,,,,,,,,,,,,,,,,,,,0,error,"ERROR: [youtube] VID00000084: Video unavailable. This video contains content from WMG, who has blocked it on copyright grounds"
VID00000085,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000086,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000086: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VID00000087,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000088,Demo video 088,UCDEMOCHANNEL00000029,Demo channel 029,Demo channel 029,2904,89848,1274,221,8272,20200313,1584057600,https://www.youtube.com/watch?v=VID00000088,"[""Demo category""]","[""demo tag 072""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000089,Demo video 089,UCDEMOCHANNEL00000177,Demo channel 177,Demo channel 177,2941,91082,1291,224,8373,20200314,1584144000,https://www.youtube.com/watch?v=VID00000089,"[""Demo category""]","[""demo tag 073""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000090,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000090: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VID00000091,Demo video 091,UCDEMOCHANNEL00000106,Demo channel 106,Demo channel 106,3015,93550,1325,230,8575,20200316,1584316800,https://www.youtube.com/watch?v=VID00000091,"[""Demo category""]","[""demo tag 075""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000092,Demo video 092,UCDEMOCHANNEL00000098,Demo channel 098,Demo channel 098,3052,94784,1342,233,8676,20200317,1584403200,https://www.youtube.com/watch?v=VID00000092,"[""Demo category""]","[""demo tag 076""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000093,Demo video 093,UCDEMOCHANNEL00000104,Demo channel 104,Demo channel 104,3089,96018,1359,236,8777,20200318,1584489600,https://www.youtube.com/watch?v=VID00000093,"[""Demo category""]","[""demo tag 077""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000094,Demo video 094,UCDEMOCHANNEL00000145,Demo channel 145,Demo channel 145,3126,97252,1376,239,8878,20200319,1584576000,https://www.youtube.com/watch?v=VID00000094,"[""Demo category""]","[""demo tag 078""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000095,Demo video 095,UCDEMOCHANNEL00000151,Demo channel 151,Demo channel 151,3163,98486,1393,242,8979,20200320,1584662400,https://www.youtube.com/watch?v=VID00000095,"[""Demo category""]","[""demo tag 079""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000096,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000096: This video has been removed for violating YouTube's Community Guidelines
VID00000097,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000099,Demo video 099,UCDEMOCHANNEL00000104,Demo channel 104,Demo channel 104,3274,102188,1444,251,9282,20200323,1584921600,https://www.youtube.com/watch?v=VID00000099,"[""Demo category""]","[""demo tag 082""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000100,Demo video 100,UCDEMOCHANNEL00000109,Demo channel 109,Demo channel 109,3311,103422,1461,254,9383,20200324,1585008000,https://www.youtube.com/watch?v=VID00000100,"[""Demo category""]","[""demo tag 083""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000101,Demo video 101,UCDEMOCHANNEL00000085,Demo channel 085,Demo channel 085,3348,104656,1478,257,9484,20200325,1585094400,https://www.youtube.com/watch?v=VID00000101,"[""Demo category""]","[""demo tag 084""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000102,Demo video 102,UCDEMOCHANNEL00000052,Demo channel 052,Demo channel 052,3385,105890,1495,260,9585,20200326,1585180800,https://www.youtube.com/watch?v=VID00000102,"[""Demo category""]","[""demo tag 085""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000104,Demo video 104,UCDEMOCHANNEL00000173,Demo channel 173,Demo channel 173,3422,107124,1512,263,9686,20200327,1585267200,https://www.youtube.com/watch?v=VID00000104,"[""Demo category""]","[""demo tag 086""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000105,Demo video 105,UCDEMOCHANNEL00000170,Demo channel 170,Demo channel 170,3459,108358,1529,266,9787,20200328,1585353600,https://www.youtube.com/watch?v=VID00000105,"[""Demo category""]","[""demo tag 087""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000106,Demo video 106,UCDEMOCHANNEL00000173,Demo channel 173,Demo channel 173,3496,109592,1546,269,9888,20200329,1585440000,https://www.youtube.com/watch?v=VID00000106,"[""Demo category""]","[""demo tag 088""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000108,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000108: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
VID00000110,Demo video 110,UCDEMOCHANNEL00000007,Demo channel 007,Demo channel 007,3570,112060,1580,275,10090,20200331,1585612800,https://www.youtube.com/watch?v=VID00000110,"[""Demo category""]","[""demo tag 090""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000111,Demo video 111,UCDEMOCHANNEL00000171,Demo channel 171,Demo channel 171,3607,113294,1597,278,10191,20200401,1585699200,https://www.youtube.com/watch?v=VID00000111,"[""Demo category""]","[""demo tag 091""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000112,,,,,,,,,,,,,,,,,,,,,,,,0,error,"ERROR: [youtube] VID00000112: Video unavailable. This video contains content from Disney Enterprises, who has blocked it on copyright grounds"
VID00000113,Demo video 113,UCDEMOCHANNEL00000004,Demo channel 004,Demo channel 004,3681,115762,1631,284,10393,20200403,1585872000,https://www.youtube.com/watch?v=VID00000113,"[""Demo category""]","[""demo tag 093""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000114,Demo video 114,UCDEMOCHANNEL00000063,Demo channel 063,Demo channel 063,3718,116996,1648,287,10494,20200404,1585958400,https://www.youtube.com/watch?v=VID00000114,"[""Demo category""]","[""demo tag 094""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000115,Demo video 115,UCDEMOCHANNEL00000078,Demo channel 078,Demo channel 078,3755,118230,1665,290,10595,20200405,1586044800,https://www.youtube.com/watch?v=VID00000115,"[""Demo category""]","[""demo tag 095""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000116,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000116: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VID00000117,Demo video 117,UCDEMOCHANNEL00000093,Demo channel 093,Demo channel 093,3829,120698,1699,296,10797,20200407,1586217600,https://www.youtube.com/watch?v=VID00000117,"[""Demo category""]","[""demo tag 097""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000119,Demo video 119,UCDEMOCHANNEL00000121,Demo channel 121,Demo channel 121,266,121932,1716,299,10898,20200408,1586304000,https://www.youtube.com/watch?v=VID00000119,"[""Demo category""]","[""demo tag 098""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000122,Demo video 122,UCDEMOCHANNEL00000027,Demo channel 027,Demo channel 027,303,123166,1733,302,10999,20200409,1586390400,https://www.youtube.com/watch?v=VID00000122,"[""Demo category""]","[""demo tag 099""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000123,Demo video 123,UCDEMOCHANNEL00000011,Demo channel 011,Demo channel 011,340,124400,1750,305,11100,20200410,1586476800,https://www.youtube.com/watch?v=VID00000123,"[""Demo category""]","[""demo tag 100""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000124,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000124: This video is not available
VID00000125,Demo video 125,UCDEMOCHANNEL00000008,Demo channel 008,Demo channel 008,132,126868,1784,311,11302,20200412,1586649600,https://www.youtube.com/watch?v=VID00000125,"[""Demo category""]","[""demo tag 102""]",en,1080x1920,1080,1920,30,0.56,en,en,en,1,ok,
VID00000126,Demo video 126,UCDEMOCHANNEL00000006,Demo channel 006,Demo channel 006,451,128102,1801,314,11403,20200413,1586736000,https://www.youtube.com/watch?v=VID00000126,"[""Demo category""]","[""demo tag 103""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000127,Demo video 127,UCDEMOCHANNEL00000167,Demo channel 167,Demo channel 167,488,129336,1818,317,11504,20200414,1586822400,https://www.youtube.com/watch?v=VID00000127,"[""Demo category""]","[""demo tag 104""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000128,Demo video 128,UCDEMOCHANNEL00000093,Demo channel 093,Demo channel 093,525,130570,1835,320,11605,20200415,1586908800,https://www.youtube.com/watch?v=VID00000128,"[""Demo category""]","[""demo tag 105""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000129,Demo video 129,UCDEMOCHANNEL00000084,Demo channel 084,Demo channel 084,562,131804,1852,323,11706,20200416,1586995200,https://www.youtube.com/watch?v=VID00000129,"[""Demo category""]","[""demo tag 106""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000130,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
